Comment			
voltage(mV)		Control	.+Bup	diff
-69.672			-141.276	-52.5665	-88.7095
-69.6151		-145.284	-59.0973	-86.1867
-69.4564		-145.793	-54.5654	-91.2276
-69.2896		-145.65		-57.9376	-87.7124
-69.1817		-149.129	-55.6335	-93.4955
-68.9437		-140.544	-61.9354	-78.6086
-68.787			-136.576	-67.4133	-69.1627
-68.6711		-147.054	-61.6913	-85.3627
-68.5999		-143.311	-61.142		-82.169
-68.4452		-149.231	-63.5071	-85.7239
-68.2723		-145.65		-59.3719	-86.2781
-68.1604		-149.15		-61.5082	-87.6418
-68.0058		-153.788	-60.3485	-93.4395
-67.8247		-151.306	-55.3741	-95.9319
-67.7352		-146.484	-60.3332	-86.1508
-67.5297		-144.694	-56.9458	-87.7482
-67.371			-146.769	-56.6559	-90.1131
-67.2774		-144.328	-58.197		-86.131
-67.0821		-140.503	-55.8166	-84.6864
-67.0048		-147.257	-54.0771	-93.1799
-66.8461		-140.971	-58.3801	-82.5909
-66.6284		-143.127	-60.9436	-82.1834
-66.547			-142.619	-62.973		-79.646
-66.3843		-142.456	-58.0749	-84.3811
-66.2459		-145.426	-62.6373	-82.7887
-66.0811		-140.767	-61.6608	-79.1062
-65.9591		-154.622	-60.8673	-93.7547
-65.8024		-149.882	-55.2826	-94.5994
-65.721			-154.785	-53.009		-101.776
-65.5318		-150.92		-55.5267	-95.3933
-65.4077		-149.638	-52.2766	-97.3614
-65.2775		-148.295	-53.4363	-94.8587
-65.1168		-149.272	-50.8423	-98.4297
-64.9622		-149.109	-46.5851	-102.5239
-64.7729		-145.142	-43.9453	-101.1967
-64.6468		-146.993	-44.3573	-102.6357
-64.5105		-145.589	-43.5944	-101.9946
-64.4047		-140.849	-44.9219	-95.9271
-64.189			-139.079	-48.111		-90.968
-64.0568		-143.046	-47.2717	-95.7743
-63.9429		-144.267	-50.293		-93.974
-63.8717		-143.433	-52.3682	-91.0648
-63.6682		-131.877	-52.7039	-79.1731
-63.4729		-146.016	-51.6357	-94.3803
-63.3468		-139.343	-50.5981	-88.7449
-63.2064		-134.542	-51.7425	-82.7995
-63.0863		-134.705	-52.7039	-82.0011
-62.9317		-136.637	-49.9878	-86.6492
-62.8056		-137.899	-52.9175	-84.9815
-62.6794		-125.02		-54.2145	-70.8055
-62.4455		-121.582	-52.5207	-69.0613
-62.3763		-129.72		-53.8788	-75.8412
-62.2278		-124.634	-50.9644	-73.6696
-62.1138		-124.634	-49.4842	-75.1498
-61.884			-128.377	-46.7071	-81.6699
-61.6988		-130.676	-52.1851	-78.4909
-61.5544		-128.54		-54.779		-73.761
-61.4282		-131.165	-54.9011	-76.2639
-61.3245		-133.626	-50.7812	-82.8448
-61.1739		-131.368	-52.3529	-79.0151
-61.0376		-135.742	-53.4821	-82.2599
-60.9013		-142.212	-51.7731	-90.4389
-60.706			-142.192	-53.4668	-88.7252
-60.5534		-136.759	-51.5594	-85.1996
-60.4232		-131.632	-47.1802	-84.4518
-60.3337		-130.29		-51.4069	-78.8831
-60.1546		-130.086	-48.9044	-81.1816
-60.0142		-132.121	-49.2248	-82.8962
-59.9084		-135.701	-42.2668	-93.4342
-59.7233		-131.755	-44.7388	-87.0162
-59.589			-136.312	-42.8162	-93.4958
-59.5382		-138.163	-43.8232	-94.3398
-59.3062		-140.605	-44.0979	-96.5071
-59.1618		-131.999	-44.2352	-87.7638
-58.9909		-133.118	-42.9687	-90.1493
-58.8444		-137.614	-44.1894	-93.4246
-58.7528		-140.096	-43.5028	-96.5932
-58.5881		-146.342	-40.0391	-106.3029
-58.3907		-139.384	-44.1284	-95.2556
-58.289			-146.769	-40.1154	-106.6536
-58.173			-142.029	-38.1927	-103.8363
-58.0245		-136.556	-38.6963	-97.8597
-57.8658		-137.634	-37.8418	-99.7922
-57.7417		-139.262	-40.329		-98.933
-57.5667		-135.681	-38.7573	-96.9237
-57.4284		-136.108	-37.6892	-98.4188
-57.3246		-130.676	-33.5998	-97.0762
-57.1212		-129.72		-33.7372	-95.9828
-56.9727		-128.296	-34.6832	-93.6128
-56.8852		-129.313	-35.9192	-93.3938
-56.7346		-127.299	-36.1481	-91.1509
-56.6044		-127.747	-34.5001	-93.2469
-56.46			-124.959	-32.5928	-92.3662
-56.2382		-129.639	-33.02		-96.619
-56.0897		-127.258	-36.9873	-90.2707
