time(s)					voltage (mv)	control	SB488	SB488+SB779	diff (TRPV4 current)
0.1295					-72.9065	-22.583		-79.9561	-34.1797    -45.7764
0.13					-72.8027	-23.8037	-81.4819	-29.6021    -51.8798
0.1305					-72.6746	-24.4141	-86.0596	-30.8228    -55.2368
0.131					-72.5891	-22.583		-88.8062	-31.4331    -57.3731
0.1315					-72.5037	-26.8555	-90.0269	-34.4849    -55.542
0.132					-72.3999	-24.1089	-89.4165	-32.959	    -56.4575
0.1325					-72.2839	-20.752		-86.9751	-27.4658    -59.5093
0.133					-72.1741	-22.8882	-99.4873	-27.771	    -71.7163
0.1335					-72.1069	-25.3296	-89.7217	-31.4331    -58.2886
0.134					-71.9788	-28.3813	-91.2476	-29.9072    -61.3404
0.1345					-71.8872	-22.583		-89.4165	-26.2451    -63.1714
0.135					-71.8018	-20.752		-84.8389	-30.5176    -54.3213
0.1355					-71.6919	-18.3105	-94.6045	-29.2969    -65.3076
0.136					-71.5881	-18.0054	-86.9751	-32.3486    -54.6265
0.1365					-71.4783	-20.752		-87.5854	-28.6865    -58.8989
0.137					-71.3989	-20.752		-89.4165	-28.3813    -61.0352
0.1375					-71.2952	-21.0571	-82.7026	-27.1606    -55.542
0.138					-71.2097	-20.4468	-89.4165	-32.3486    -57.0679
0.1385					-71.0999	-20.1416	-92.1631	-34.79	    -57.3731
0.139					-71.0022	-20.1416	-79.6509	-32.959	    -46.6919
0.1395					-70.8862	-17.7002	-81.4819	-34.1797    -47.3022
0.14					-70.7825	-21.3623	-81.1768	-33.8745    -47.3023
0.1405					-70.6848	-21.3623	-83.9233	-32.6538    -51.2695
0.141					-70.6116	-18.6157	-87.8906	-36.0107    -51.8799
0.1415					-70.4895	-18.9209	-78.7354	-34.4849    -44.2505
0.142					-70.3979	-20.752		-84.8389	-32.3486    -52.4903
0.1425					-70.2881	-21.3623	-78.125		-29.9072    -48.2178
0.143					-70.2026	-18.6157	-77.2095	-31.1279    -46.0816
0.1435					-70.105		-22.2778	-90.0269	-40.8936    -49.1333
0.144					-69.9951	-16.7847	-80.8716	-39.0625    -41.8091
0.1445					-69.8853	-20.1416	-83.9233	-35.4004    -48.5229
0.145					-69.7876	-20.752		-90.9424	-39.3677    -51.5747
0.1455					-69.6838	-22.8882	-89.7217	-39.978	    -49.7437
0.146					-69.574		-20.752		-85.144		-31.7383    -53.4057
0.1465					-69.4824	-19.8364	-84.2285	-31.1279    -53.1006
0.147					-69.3909	-19.5313	-87.2803	-31.4331    -55.8472
0.1475					-69.2871	-18.3105	-85.4492	-37.8418    -47.6074
0.148					-69.2078	-17.7002	-79.0405	-33.5693    -45.4712
0.1485					-69.104		-18.0054	-88.501		-34.1797    -54.3213
0.149					-68.9941	-19.5313	-91.5527	-29.9072    -61.6455
0.1495					-68.8904	-20.4468	-82.7026	-32.6538    -50.0488
0.15					-68.8171	-16.4795	-87.8906	-32.959	    -54.9316
0.1505					-68.689		-21.3623	-87.5854	-30.5176    -57.0678
0.151					-68.6096	-17.0898	-80.2612	-33.5693    -46.6919
0.1515					-68.512		-18.3105	-83.6182	-32.3486    -51.2696
0.152					-68.4082	-15.564		-83.6182	-31.7383    -51.8799
0.1525					-68.3105	-18.3105	-91.5527	-32.6538    -58.8989
0.153					-68.2068	-17.395		-83.9233	-34.1797    -49.7436
0.1535					-68.103		-17.395		-74.4629	-31.1279    -43.335
0.154					-68.0054	-17.395		-77.8198	-36.3159    -41.5039
0.1545					-67.8833	-20.1416	-88.1958	-33.2642    -54.9316
0.155					-67.7917	-20.4468	-89.7217	-30.8228    -58.8989
0.1555					-67.7185	-21.0571	-83.0078	-31.4331    -51.5747
0.156					-67.6025	-16.7847	-73.2422	-29.6021    -43.6401
0.1565					-67.4988	-18.3105	-73.2422	-28.6865    -44.5557
0.157					-67.4072	-20.1416	-77.8198	-28.3813    -49.4385
0.1575					-67.3157	-18.0054	-78.7354	-28.6865    -50.0489
0.158					-67.2302	-18.6157	-78.125		-26.5503    -51.5747
0.1585					-67.1082	-20.4468	-74.1577	-29.2969    -44.8608
0.159					-67.0166	-18.9209	-75.3784	-33.5693    -41.8091
0.1595					-66.9189	-20.752		-78.7354	-32.959	    -45.7764
0.16					-66.8091	-20.4468	-86.6699	-32.3486    -54.3213
0.1605					-66.7114	-22.583		-86.9751	-35.4004    -51.5747
0.161					-66.6138	-21.3623	-83.0078	-30.2124    -52.7954
0.1615					-66.5161	-17.7002	-80.5664	-31.7383    -48.8281
0.162					-66.4124	-18.6157	-74.4629	-33.8745    -40.5884
0.1625					-66.3208	-16.1743	-73.8525	-27.4658    -46.3867
0.163					-66.1926	-18.0054	-79.0405	-30.8228    -48.2177
0.1635					-66.1133	-18.9209	-87.2803	-29.2969    -57.9834
0.164					-66.0034	-19.8364	-85.4492	-26.8555    -58.5937
0.1645					-65.918		-14.6484	-85.4492	-32.959	    -52.4902
0.165					-65.8264	-18.3105	-85.4492	-29.2969    -56.1523
0.1655					-65.7166	-18.6157	-78.125		-26.5503    -51.5747
0.166					-65.6006	-20.1416	-78.7354	-27.771	    -50.9644
0.1665					-65.5151	-18.0054	-79.9561	-28.3813    -51.5748
0.167					-65.4175	-20.4468	-78.125		-27.1606    -50.9644
0.1675					-65.3259	-17.395		-86.0596	-32.6538    -53.4058
0.168					-65.2039	-18.0054	-83.6182	-29.9072    -53.711
0.1685					-65.1062	-17.395		-76.5991	-29.6021    -46.997
0.169					-65.0024	-20.752		-77.8198	-34.79	    -43.0298
0.1695					-64.8987	-20.1416	-80.5664	-28.9917    -51.5747
0.17					-64.8193	-17.7002	-74.1577	-31.1279    -43.0298
0.1705					-64.7278	-18.3105	-78.125		-30.5176    -47.6074
0.171					-64.6057	-20.1416	-75.6836	-32.6538    -43.0298
0.1715					-64.502		-19.8364	-81.7871	-28.0762    -53.7109
0.172					-64.4409	-18.3105	-85.7544	-29.9072    -55.8472
0.1725					-64.3066	-18.0054	-89.7217	-32.3486    -57.3731
0.173					-64.2029	-18.6157	-88.8062	-30.5176    -58.2886
0.1735					-64.1113	-16.7847	-77.5146	-30.8228    -46.6918
0.174					-64.0076	-18.0054	-72.937		-31.4331    -41.5039
0.1745					-63.9282	-17.395		-70.8008	-28.6865    -42.1143
0.175					-63.8245	-15.564		-75.6836	-30.2124    -45.4712
0.1755					-63.7207	-19.5313	-77.5146	-25.9399    -51.5747
0.176					-63.6292	-19.2261	-68.9697	-27.4658    -41.5039
0.1765					-63.5437	-16.4795	-75.9888	-31.7383    -44.2505
0.177					-63.4277	-19.2261	-71.4111	-29.2969    -42.1142
0.1775					-63.3301	-17.0898	-68.0542	-26.5503    -41.5039
0.178					-63.208		-17.7002	-78.7354	-26.5503    -52.1851
0.1785					-63.1104	-18.0054	-73.8525	-22.2778    -51.5747
0.179					-63.0432	-15.8691	-71.4111	-24.4141    -46.997
0.1795					-62.9028	-20.1416	-76.9043	-27.1606    -49.7437
